Contrato;Marca;Categoria;SubCategoria;Moneda;Desc. Royalty;Royalty;BDI;Producto;Cliente;SKU;Descripcion Producto;Precio Unitario Venta Neta;Q Venta Neta;Precio Unitario Devolucion / Descuento;Q Devolucion
EC112654;Monster High;Accessories;Other Accessories;CLP;Standard;0,12;0,01;PARAGUA; ;MH-49181;PARAGUA AUTOMATICO MONSTER HIGH;0;0;2063;17
EC112654;Monster High;Bags;Backpacks;CLP;Standard;0,12;0,01;MOCHILA; ;MH-24944;MOCHILA MONSTER HIGH C/CIERRE DIAGONAL 2 DIS.;2475;6;0;0
EC112654;Monster High;Bags;Backpacks;CLP;Standard;0,12;0,01;MOCHILA; ;MH-25072;MOCHILA JUVENIL MONSTER HIGH 2 DIS.;3143;21;1875;1
EC112654;Monster High;Bags;Backpacks;CLP;Standard;0,12;0,01;MOCHILA; ;MH-25077;MOCHILA 2 BOLSILLOS MONSTER HIGH 2 DIS.;3250;18;0;0
EC112654;Monster High;Bags;Backpacks;CLP;Standard;0,12;0,01;MOCHILA C/RUEDAS; ;MH-25079;MOCHILA GRANDE C/RUEDAS MONSTER HIGH 2 DIS.;4858;18;0;0
EC112654;Monster High;Bags;Kids Bags;CLP;Standard;0,12;0,01;CARTERA; ;MH-22408;CARTERITA C/CIERRE DELANTERO MONSTER HIGH;2062;12;0;0
EC112654;Monster High;Bags;Kids Bags;CLP;Standard;0,12;0,01;BILLETERA; ;MH-25075;BILLETERA JUVENIL E/BLISTER MONSTER HIGH 2 DIS.;1120;18;0;0
EC112654;Monster High;Bags;Kids Bags;CLP;Standard;0,12;0,01;MONEDERO; ;MH-25076;MONEDERO E/BLISTER MONSTER HIGH 2 DIS.;950;12;0;0
EC112654;Monster High;Bags;Kids Bags;CLP;Standard;0,12;0,01;BOLSO; ;MH-94050;BOLSO MESSENGER DOBLE CIERRE MONSTER HIGH ;2714;42;1875;2
EC112654;Monster High;Bags;Kids Bags;CLP;Standard;0,12;0,01;BOLSO; ;MH-94051;BOLSO MESSENGER MONSTER HIGH ;3455;14;0;0
EC112654;Monster High;Stationery Social Expressions;Back-To-School Stationery;CLP;Standard;0,12;0,01;SET REGALERIA; ;SKY-3912MH;SET REGALERIA 3 ACCESORIOS + MEMO PAD MONSTER HIGH;794;13;0;0
EC112654;Monster High;Stationery Social Expressions;Back-To-School Stationery;CLP;Standard;0,12;0,01;STICKERS; ;SKY-42199MH;BLOCK 200 STICKERS MONSTER HIGH;424;121;0;0
EC112654;Monster High;Stationery Social Expressions;Back-To-School Stationery;CLP;Standard;0,12;0,01;STICKERS; ;SKY-44858MH;BLOCK 500 STICKERS MONSTER HIGH;600;60;0;0
EC112654;Monster High;Stationery Social Expressions;Back-To-School Stationery;CLP;Standard;0,12;0,01;STICKERS; ;SKY-4790MH;SET 400 STICKERS EN FOILBAG MONSTER HIGH;568;13;0;0
EC112654;Monster High;Stationery Social Expressions;Back-To-School Stationery;CLP;Standard;0,12;0,01;ALCANCIA; ;SKY-9700MH;ALCANCIA METALICA MONSTER HIGH;501;5672;0;0
